[build] clang++ + libomp
Mode: estimate
Days kept: 965, total returns: 4515235
Jump truncation: c=3.000000
H(10m) = 0.499000
H(15m) = 0.499000
H(combined) = 0.499000,  R_hat = 0.000000
Mode: mc_calibrated — estimating params from CSV
NOTE: calibration produced near-degenerate params; using safe floors/fallbacks (nu=0.45, kappa=1e-06, theta=1e-06, v0=1e-06)
Calibrated from CSV:
  H_hat  = 0.499000
  kappa  = -0.000005
  theta  = 0.000000
  xi     = 0.000001  (nu used = 0.450000)
  rho    = -0.086779
  v0     = 0.000000
Simulating with H=0.490000, days=50, reps=200
Mode: mc | H=0.490000, days=50, reps=200, dt=5.000000s, nu=0.450000, kappa=0.000001, theta=0.000001, rho=-0.086779, v0=0.000001
rep 21: H_hat=0.4900
rep 181: H_hat=0.4900
rep 61: H_hat=0.4900
rep 41: H_hat=0.4900
rep 1: H_hat=0.4900
rep 161: H_hat=0.4900
rep 81: H_hat=0.4900
rep 141: H_hat=0.4900
rep 22: H_hat=0.4900
rep 182: H_hat=0.4900
rep 62: H_hat=0.4900
rep 101: H_hat=0.4900
rep 121: H_hat=0.4900
rep 42: H_hat=0.4900
rep 142: H_hat=0.4900
rep 2: H_hat=0.4900
rep 23: H_hat=0.4900
rep 63: H_hat=0.4900
rep 122: H_hat=0.4900
rep 82: H_hat=0.4900
rep 162: H_hat=0.4900
rep 183: H_hat=0.4900
rep 143: H_hat=0.4900
rep 102: H_hat=0.4900
rep 43: H_hat=0.4900
rep 24: H_hat=0.4900
rep 184: H_hat=0.4900
rep 83: H_hat=0.4900
rep 64: H_hat=0.4900
rep 144: H_hat=0.4900
rep 3: H_hat=0.4900
rep 103: H_hat=0.4900
rep 163: H_hat=0.4900
rep 123: H_hat=0.4900
rep 185: H_hat=0.4900
rep 44: H_hat=0.4900
rep 145: H_hat=0.4900
rep 104: H_hat=0.4900
rep 25: H_hat=0.4900
rep 84: H_hat=0.4900
rep 124: H_hat=0.4900
rep 186: H_hat=0.4900
rep 4: H_hat=0.4900
rep 164: H_hat=0.4900
rep 65: H_hat=0.4900
rep 105: H_hat=0.4900
rep 146: H_hat=0.4900
rep 26: H_hat=0.4900
rep 45: H_hat=0.4900
rep 187: H_hat=0.4900
rep 85: H_hat=0.4900
rep 106: H_hat=0.4900
rep 5: H_hat=0.4900
rep 125: H_hat=0.4900
rep 27: H_hat=0.4900
rep 66: H_hat=0.4900
rep 165: H_hat=0.4900
rep 147: H_hat=0.4900
rep 46: H_hat=0.4900
rep 86: H_hat=0.4900
rep 188: H_hat=0.4900
rep 28: H_hat=0.4900
rep 67: H_hat=0.4900
rep 126: H_hat=0.4900
rep 6: H_hat=0.4900
rep 107: H_hat=0.4900
rep 166: H_hat=0.4900
rep 87: H_hat=0.4900
rep 29: H_hat=0.4900
rep 68: H_hat=0.4900
rep 189: H_hat=0.4900
rep 47: H_hat=0.4900
rep 108: H_hat=0.4900
rep 127: H_hat=0.4900
rep 88: H_hat=0.4900
rep 148: H_hat=0.4900
rep 167: H_hat=0.4900
rep 30: H_hat=0.4900
rep 7: H_hat=0.4900
rep 48: H_hat=0.4900
rep 69: H_hat=0.4900
